source,target,source_name,target_name,source_opinion,target_opinion,source_group,target_group
0,4,John Smith,Michael Jones,-2,2,-1,1
0,9,John Smith,Elizabeth Martinez,-2,2,-1,1
0,14,John Smith,Joseph Thomas,-2,2,-1,1
0,19,John Smith,Lisa Lee,-2,2,-1,1
0,24,John Smith,Anthony Clark,-2,2,-1,1
0,29,John Smith,Sandra Young,-2,2,-1,1
0,34,John Smith,Kevin Torres,-2,2,-1,1
0,39,John Smith,Cynthia Adams,-2,2,-1,1
0,44,John Smith,Jacob Campbell,-2,2,-1,1
0,49,John Smith,Stephanie Evans,-2,2,-1,1
0,54,John Smith,Scott Collins,-2,2,-1,1
0,59,John Smith,Megan Reed,-2,2,-1,1
0,64,John Smith,Zachary Bailey,-2,2,-1,1
0,69,John Smith,Theresa Howard,-2,2,-1,1
0,74,John Smith,Derek Price,-2,2,-1,1
0,79,John Smith,Morgan Henderson,-2,2,-1,1
0,84,John Smith,Alex Patterson,-2,2,-1,1
0,89,John Smith,Alyssa Foster,-2,2,-1,1
0,94,John Smith,Luke Diaz,-2,2,-1,1
0,99,John Smith,Mia Sullivan,-2,2,-1,1
0,104,John Smith,Isaac Hayes,-2,2,-1,1
0,109,John Smith,Sofia Griffin,-2,2,-1,1
0,27,John Smith,Helen Robinson,-2,0,-1,0
0,57,John Smith,Laura Morris,-2,0,-1,0
0,72,John Smith,Samuel Kelly,-2,0,-1,0
0,77,John Smith,Casey Barnes,-2,0,-1,0
1,3,Mary Johnson,Patricia Brown,-1,1,-1,1
1,8,Mary Johnson,James Rodriguez,-1,1,-1,1
1,13,Mary Johnson,Susan Anderson,-1,1,-1,1
1,18,Mary Johnson,Christopher Martin,-1,1,-1,1
1,23,Mary Johnson,Karen Sanchez,-1,1,-1,1
1,28,Mary Johnson,Steven Walker,-1,1,-1,1
1,33,Mary Johnson,Carol Scott,-1,1,-1,1
1,38,Mary Johnson,Edward Green,-1,1,-1,1
1,43,Mary Johnson,Angela Rivera,-1,1,-1,1
1,48,Mary Johnson,Gary Phillips,-1,1,-1,1
1,53,Mary Johnson,Janet Edwards,-1,1,-1,1
1,58,Mary Johnson,Benjamin Rogers,-1,1,-1,1
1,63,Mary Johnson,Cheryl Murphy,-1,1,-1,1
1,68,Mary Johnson,Shane Cox,-1,1,-1,1
1,73,Mary Johnson,Alice Sanders,-1,1,-1,1
1,78,Mary Johnson,Jamie Ross,-1,1,-1,1
1,83,Mary Johnson,Riley Powell,-1,1,-1,1
1,88,Mary Johnson,Caleb Simmons,-1,1,-1,1
1,93,Mary Johnson,Sierra Griffin,-1,1,-1,1
1,98,Mary Johnson,Carter Graham,-1,1,-1,1
1,103,Mary Johnson,Naomi Jordan,-1,1,-1,1
1,108,Mary Johnson,Aaron Russell,-1,1,-1,1
1,113,Mary Johnson,Caroline Patterson,-1,1,-1,1
1,2,Mary Johnson,Robert Williams,-1,0,-1,0
1,42,Mary Johnson,Jeffrey Hall,-1,0,-1,0
1,92,Mary Johnson,Connor Russell,-1,0,-1,0
1,97,Mary Johnson,Isabella Hamilton,-1,0,-1,0
2,103,Robert Williams,Naomi Jordan,0,1,0,1
2,19,Robert Williams,Lisa Lee,0,2,0,1
2,4,Robert Williams,Michael Jones,0,2,0,1
2,44,Robert Williams,Jacob Campbell,0,2,0,1
2,39,Robert Williams,Cynthia Adams,0,2,0,1
2,38,Robert Williams,Edward Green,0,1,0,1
2,23,Robert Williams,Karen Sanchez,0,1,0,1
2,18,Robert Williams,Christopher Martin,0,1,0,1
2,88,Robert Williams,Caleb Simmons,0,1,0,1
2,14,Robert Williams,Joseph Thomas,0,2,0,1
2,69,Robert Williams,Theresa Howard,0,2,0,1
2,5,Robert Williams,Linda Garcia,0,-2,0,-1
2,11,Robert Williams,Jennifer Lopez,0,-1,0,-1
2,31,Robert Williams,Donna King,0,-1,0,-1
2,35,Robert Williams,Ruth Nguyen,0,-2,0,-1
2,80,Robert Williams,Robin Coleman,0,-2,0,-1
2,95,Robert Williams,Hailey Myers,0,-2,0,-1
2,110,Robert Williams,Julian Barnes,0,-2,0,-1
2,86,Robert Williams,Ethan Flores,0,-1,0,-1
2,30,Robert Williams,Paul Allen,0,-2,0,-1
2,85,Robert Williams,Taylor Hughes,0,-2,0,-1
3,6,Patricia Brown,William Miller,1,-1,1,-1
3,11,Patricia Brown,Jennifer Lopez,1,-1,1,-1
3,16,Patricia Brown,Charles Moore,1,-1,1,-1
3,21,Patricia Brown,Nancy White,1,-1,1,-1
3,26,Patricia Brown,Mark Lewis,1,-1,1,-1
3,31,Patricia Brown,Donna King,1,-1,1,-1
3,36,Patricia Brown,Brian Hill,1,-1,1,-1
3,41,Patricia Brown,Amy Baker,1,-1,1,-1
3,46,Patricia Brown,Ryan Carter,1,-1,1,-1
3,51,Patricia Brown,Rebecca Torres,1,-1,1,-1
3,56,Patricia Brown,Brandon Sanchez,1,-1,1,-1
3,61,Patricia Brown,Olivia Morgan,1,-1,1,-1
3,66,Patricia Brown,Patrick Cooper,1,-1,1,-1
3,71,Patricia Brown,Janice Brooks,1,-1,1,-1
3,76,Patricia Brown,Jordan Wood,1,-1,1,-1
3,81,Patricia Brown,AJenkins,1,-1,1,-1
3,86,Patricia Brown,Ethan Flores,1,-1,1,-1
3,91,Patricia Brown,Jasmine Alexander,1,-1,1,-1
3,96,Patricia Brown,Owen Ford,1,-1,1,-1
3,101,Patricia Brown,Eva West,1,-1,1,-1
3,106,Patricia Brown,Gabriel Simmons,1,-1,1,-1
3,111,Patricia Brown,Aubrey Price,1,-1,1,-1
3,7,Patricia Brown,Barbara Davis,1,0,1,0
3,32,Patricia Brown,Andrew Wright,1,0,1,0
3,37,Patricia Brown,Sharon Flores,1,0,1,0
3,47,Patricia Brown,Emma Roberts,1,0,1,0
3,62,Patricia Brown,Adam Bell,1,0,1,0
3,87,Patricia Brown,Samantha Butler,1,0,1,0
3,107,Patricia Brown,Madison Bryant,1,0,1,0
3,112,Patricia Brown,Miles Jenkins,1,0,1,0
4,5,Michael Jones,Linda Garcia,2,-2,1,-1
4,10,Michael Jones,David Hernandez,2,-2,1,-1
4,15,Michael Jones,Margaret Taylor,2,-2,1,-1
4,20,Michael Jones,Daniel Perez,2,-2,1,-1
4,25,Michael Jones,Betty Ramirez,2,-2,1,-1
4,30,Michael Jones,Paul Allen,2,-2,1,-1
4,35,Michael Jones,Ruth Nguyen,2,-2,1,-1
4,40,Michael Jones,Jason Nelson,2,-2,1,-1
4,45,Michael Jones,Melissa Mitchell,2,-2,1,-1
4,50,Michael Jones,Nicholas Turner,2,-2,1,-1
4,55,Michael Jones,Rachel Stewart,2,-2,1,-1
4,60,Michael Jones,Aaron Cook,2,-2,1,-1
4,65,Michael Jones,Katherine Rivera,2,-2,1,-1
4,70,Michael Jones,Bryan Ward,2,-2,1,-1
4,75,Michael Jones,Victoria Bennett,2,-2,1,-1
4,80,Michael Jones,Robin Coleman,2,-2,1,-1
4,85,Michael Jones,Taylor Hughes,2,-2,1,-1
4,90,Michael Jones,Dylan Bryant,2,-2,1,-1
4,95,Michael Jones,Hailey Myers,2,-2,1,-1
4,100,Michael Jones,Wyatt Wallace,2,-2,1,-1
4,105,Michael Jones,Lily Ford,2,-2,1,-1
4,110,Michael Jones,Julian Barnes,2,-2,1,-1
4,37,Michael Jones,Sharon Flores,2,0,1,0
4,102,Michael Jones,Julian Cole,2,0,1,0
5,9,Linda Garcia,Elizabeth Martinez,-2,2,-1,1
5,14,Linda Garcia,Joseph Thomas,-2,2,-1,1
5,19,Linda Garcia,Lisa Lee,-2,2,-1,1
5,24,Linda Garcia,Anthony Clark,-2,2,-1,1
5,29,Linda Garcia,Sandra Young,-2,2,-1,1
5,34,Linda Garcia,Kevin Torres,-2,2,-1,1
5,39,Linda Garcia,Cynthia Adams,-2,2,-1,1
5,44,Linda Garcia,Jacob Campbell,-2,2,-1,1
5,49,Linda Garcia,Stephanie Evans,-2,2,-1,1
5,54,Linda Garcia,Scott Collins,-2,2,-1,1
5,59,Linda Garcia,Megan Reed,-2,2,-1,1
5,64,Linda Garcia,Zachary Bailey,-2,2,-1,1
5,69,Linda Garcia,Theresa Howard,-2,2,-1,1
5,74,Linda Garcia,Derek Price,-2,2,-1,1
5,79,Linda Garcia,Morgan Henderson,-2,2,-1,1
5,84,Linda Garcia,Alex Patterson,-2,2,-1,1
5,89,Linda Garcia,Alyssa Foster,-2,2,-1,1
5,94,Linda Garcia,Luke Diaz,-2,2,-1,1
5,99,Linda Garcia,Mia Sullivan,-2,2,-1,1
5,104,Linda Garcia,Isaac Hayes,-2,2,-1,1
5,109,Linda Garcia,Sofia Griffin,-2,2,-1,1
5,7,Linda Garcia,Barbara Davis,-2,0,-1,0
5,17,Linda Garcia,Dorothy Jackson,-2,0,-1,0
5,67,Linda Garcia,Diane Richardson,-2,0,-1,0
5,87,Linda Garcia,Samantha Butler,-2,0,-1,0
6,8,William Miller,James Rodriguez,-1,1,-1,1
6,13,William Miller,Susan Anderson,-1,1,-1,1
6,18,William Miller,Christopher Martin,-1,1,-1,1
6,23,William Miller,Karen Sanchez,-1,1,-1,1
