Victoria_Bennett: [('s=1', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=3', 'a=0'), ('s=3', 'a=0')]
Melissa_Mitchell: [('s=0', 'a=0'), ('s=3', 'a=0'), ('s=2', 'a=1'), ('s=3', 'a=0'), ('s=2', 'a=0')]
John_Smith: [('s=2', 'a=0'), ('s=3', 'a=1'), ('s=2', 'a=0'), ('s=1', 'a=0'), ('s=2', 'a=0')]
Jason_Nelson: [('s=2', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=1', 'a=0')]
Taylor_Hughes: [('s=2', 'a=0'), ('s=3', 'a=0'), ('s=2', 'a=0'), ('s=3', 'a=0'), ('s=3', 'a=0')]
Aaron_Cook: [('s=1', 'a=0'), ('s=2', 'a=2'), ('s=3', 'a=0'), ('s=1', 'a=0'), ('s=3', 'a=0')]
Linda_Garcia: [('s=1', 'a=0'), ('s=2', 'a=0'), ('s=3', 'a=0'), ('s=1', 'a=1'), ('s=3', 'a=0')]
Katherine_Rivera: [('s=2', 'a=0'), ('s=3', 'a=0'), ('s=4', 'a=0'), ('s=3', 'a=0'), ('s=3', 'a=0')]
Betty_Ramirez: [('s=2', 'a=0'), ('s=2', 'a=0'), ('s=4', 'a=0'), ('s=3', 'a=0'), ('s=4', 'a=0')]
David_Hernandez: [('s=1', 'a=0'), ('s=0', 'a=0'), ('s=2', 'a=0'), ('s=1', 'a=0'), ('s=3', 'a=0')]
Rachel_Stewart: [('s=3', 'a=0'), ('s=2', 'a=0'), ('s=3', 'a=0'), ('s=3', 'a=0'), ('s=2', 'a=0')]
Wyatt_Wallace: [('s=3', 'a=0'), ('s=3', 'a=0'), ('s=1', 'a=0'), ('s=4', 'a=0'), ('s=3', 'a=0')]
Margaret_Taylor: [('s=2', 'a=0'), ('s=4', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=4', 'a=0')]
Daniel_Perez: [('s=1', 'a=0'), ('s=3', 'a=0'), ('s=4', 'a=0'), ('s=1', 'a=2'), ('s=2', 'a=0')]
Dylan_Bryant: [('s=1', 'a=0'), ('s=3', 'a=0'), ('s=3', 'a=0'), ('s=2', 'a=0'), ('s=3', 'a=0')]
Robin_Coleman: [('s=1', 'a=1'), ('s=3', 'a=0'), ('s=2', 'a=0'), ('s=4', 'a=0'), ('s=3', 'a=1')]
Lily_Ford: [('s=3', 'a=0'), ('s=1', 'a=0'), ('s=1', 'a=0'), ('s=1', 'a=0'), ('s=2', 'a=0')]
Julian_Barnes: [('s=2', 'a=0'), ('s=3', 'a=0'), ('s=3', 'a=0'), ('s=1', 'a=0'), ('s=3', 'a=0')]
Ruth_Nguyen: [('s=2', 'a=0'), ('s=0', 'a=1'), ('s=3', 'a=0'), ('s=3', 'a=0'), ('s=2', 'a=0')]
Nicholas_Turner: [('s=3', 'a=0'), ('s=1', 'a=2'), ('s=3', 'a=0'), ('s=3', 'a=0'), ('s=2', 'a=0')]
Bryan_Ward: [('s=3', 'a=0'), ('s=1', 'a=0'), ('s=3', 'a=0'), ('s=3', 'a=0'), ('s=3', 'a=0')]
Hailey_Myers: [('s=4', 'a=0'), ('s=1', 'a=0'), ('s=4', 'a=0'), ('s=1', 'a=0'), ('s=2', 'a=0')]
Paul_Allen: [('s=1', 'a=1'), ('s=2', 'a=0'), ('s=2', 'a=2'), ('s=3', 'a=1'), ('s=4', 'a=0')]
Jordan_Wood: [('s=1', 'a=0'), ('s=0', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0')]
Ryan_Carter: [('s=1', 'a=0'), ('s=1', 'a=0'), ('s=2', 'a=0'), ('s=1', 'a=0'), ('s=1', 'a=0')]
Mary_Johnson: [('s=1', 'a=1'), ('s=2', 'a=0'), ('s=0', 'a=2'), ('s=1', 'a=0'), ('s=2', 'a=0')]
Amy_Baker: [('s=1', 'a=0'), ('s=0', 'a=0'), ('s=1', 'a=0'), ('s=2', 'a=0'), ('s=1', 'a=2')]
Ethan_Flores: [('s=2', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=1', 'a=0'), ('s=1', 'a=0')]
Olivia_Morgan: [('s=1', 'a=0'), ('s=2', 'a=0'), ('s=0', 'a=2'), ('s=2', 'a=1'), ('s=2', 'a=0')]
William_Miller: [('s=0', 'a=0'), ('s=3', 'a=0'), ('s=1', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0')]
Patrick_Cooper: [('s=1', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=0'), ('s=0', 'a=2'), ('s=1', 'a=0')]
Mark_Lewis: [('s=2', 'a=0'), ('s=3', 'a=0'), ('s=0', 'a=2'), ('s=2', 'a=0'), ('s=1', 'a=0')]
Jennifer_Lopez: [('s=1', 'a=1'), ('s=1', 'a=0'), ('s=0', 'a=2'), ('s=2', 'a=0'), ('s=1', 'a=1')]
Brandon_Sanchez: [('s=1', 'a=2'), ('s=1', 'a=0'), ('s=1', 'a=0'), ('s=0', 'a=0'), ('s=3', 'a=0')]
Eva_West: [('s=1', 'a=1'), ('s=3', 'a=1'), ('s=2', 'a=0'), ('s=2', 'a=1'), ('s=2', 'a=0')]
Charles_Moore: [('s=1', 'a=0'), ('s=1', 'a=0'), ('s=0', 'a=0'), ('s=1', 'a=0'), ('s=2', 'a=0')]
Nancy_White: [('s=1', 'a=0'), ('s=1', 'a=1'), ('s=0', 'a=1'), ('s=2', 'a=0'), ('s=0', 'a=0')]
Jasmine_Alexander: [('s=2', 'a=0'), ('s=1', 'a=0'), ('s=2', 'a=0'), ('s=0', 'a=0'), ('s=1', 'a=2')]
AJenkins: [('s=0', 'a=1'), ('s=1', 'a=0'), ('s=0', 'a=1'), ('s=1', 'a=0'), ('s=2', 'a=0')]
Gabriel_Simmons: [('s=0', 'a=2'), ('s=1', 'a=1'), ('s=2', 'a=0'), ('s=3', 'a=0'), ('s=1', 'a=2')]
Aubrey_Price: [('s=0', 'a=0'), ('s=1', 'a=0'), ('s=2', 'a=0'), ('s=0', 'a=2'), ('s=0', 'a=0')]
Brian_Hill: [('s=0', 'a=2'), ('s=0', 'a=2'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=0', 'a=0')]
Rebecca_Torres: [('s=2', 'a=0'), ('s=2', 'a=0'), ('s=3', 'a=2'), ('s=0', 'a=0'), ('s=1', 'a=1')]
Janice_Brooks: [('s=1', 'a=0'), ('s=2', 'a=0'), ('s=0', 'a=0'), ('s=2', 'a=0'), ('s=1', 'a=0')]
Owen_Ford: [('s=1', 'a=0'), ('s=3', 'a=0'), ('s=1', 'a=1'), ('s=0', 'a=1'), ('s=3', 'a=0')]
Donna_King: [('s=0', 'a=0'), ('s=0', 'a=0'), ('s=0', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0')]
Casey_Barnes: [('s=1', 'a=0'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2')]
Emma_Roberts: [('s=0', 'a=2'), ('s=1', 'a=0'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2')]
Robert_Williams: [('s=1', 'a=1'), ('s=0', 'a=1'), ('s=0', 'a=2'), ('s=1', 'a=1'), ('s=0', 'a=2')]
Jeffrey_Hall: [('s=1', 'a=2'), ('s=1', 'a=0'), ('s=1', 'a=2'), ('s=2', 'a=2'), ('s=1', 'a=2')]
Samantha_Butler: [('s=1', 'a=2'), ('s=0', 'a=0'), ('s=1', 'a=1'), ('s=1', 'a=0'), ('s=1', 'a=1')]
Adam_Bell: [('s=0', 'a=2'), ('s=1', 'a=0'), ('s=0', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=2')]
Barbara_Davis: [('s=0', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=1'), ('s=0', 'a=1')]
Diane_Richardson: [('s=0', 'a=2'), ('s=1', 'a=0'), ('s=1', 'a=1'), ('s=1', 'a=1'), ('s=1', 'a=1')]
Helen_Robinson: [('s=0', 'a=2'), ('s=1', 'a=0'), ('s=2', 'a=2'), ('s=1', 'a=1'), ('s=1', 'a=0')]
Richard_Wilson: [('s=1', 'a=0'), ('s=0', 'a=2'), ('s=1', 'a=0'), ('s=1', 'a=0'), ('s=0', 'a=2')]
Laura_Morris: [('s=1', 'a=0'), ('s=1', 'a=0'), ('s=1', 'a=1'), ('s=2', 'a=1'), ('s=1', 'a=0')]
Julian_Cole: [('s=1', 'a=0'), ('s=0', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2')]
Dorothy_Jackson: [('s=1', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=2', 'a=0'), ('s=1', 'a=1')]
Matthew_Harris: [('s=0', 'a=2'), ('s=1', 'a=1'), ('s=1', 'a=1'), ('s=1', 'a=1'), ('s=0', 'a=2')]
Connor_Russell: [('s=1', 'a=1'), ('s=1', 'a=1'), ('s=1', 'a=0'), ('s=1', 'a=0'), ('s=1', 'a=2')]
